date,open,high,low,close,adj_close,volume,currency
2024-03-30,130.979996,130.979996,130.979996,130.979996,130.979996,0,USD/KES (KES=X)
2024-03-29,131.5,131.610001,131.5,131.5,131.5,0,USD/KES (KES=X)
2024-03-29,130.979996,130.979996,130.979996,130.979996,130.979996,0,USD/KES (KES=X)
2024-03-28,131.5,131.539993,130.25,131.5,131.5,0,USD/KES (KES=X)
2024-03-28,130.979996,131.479996,130.729996,130.979996,130.979996,0,USD/KES (KES=X)
2024-03-27,130,131.820007,130,130,130,0,USD/KES (KES=X)
2024-03-27,130.979996,131.479996,130.729996,130.979996,130.979996,0,USD/KES (KES=X)
2024-03-26,131,131.5,130.5,131,131,0,USD/KES (KES=X)
2024-03-26,130.979996,130.979996,130.979996,130.979996,130.979996,0,USD/KES (KES=X)
2024-03-25,130.899994,131.5,130.899994,130.518661,130.518661,0,USD/KES (KES=X)
2024-03-25,131.479996,131.979996,131.229996,131.479996,131.479996,0,USD/KES (KES=X)
2024-03-24,131.479996,131.479996,131.479996,131.479996,131.479996,0,USD/KES (KES=X)
2024-03-23,131.479996,131.479996,131.479996,131.479996,131.479996,0,USD/KES (KES=X)
2024-03-22,131.5,132,131,131.5,131.5,0,USD/KES (KES=X)
2024-03-22,132.479996,132.479996,131.479996,131.479996,131.479996,0,USD/KES (KES=X)
2024-03-21,132,133.369995,131.5,132,132,0,USD/KES (KES=X)
2024-03-21,131.979996,132.479996,131.979996,132.479996,132.479996,0,USD/KES (KES=X)
2024-03-20,133,133,131.5,133,133,0,USD/KES (KES=X)
2024-03-20,132.479996,132.479996,131.979996,131.979996,131.979996,0,USD/KES (KES=X)
2024-03-19,134.860001,134.919998,131.5,134.860001,134.860001,0,USD/KES (KES=X)
2024-03-19,133.479996,133.479996,131.979996,132.479996,132.479996,0,USD/KES (KES=X)
2024-03-18,136.539993,136.550003,132.5,136.158295,136.158295,0,USD/KES (KES=X)
2024-03-18,133.729996,133.979996,132.979996,133.479996,133.479996,0,USD/KES (KES=X)
2024-03-17,133.729996,133.729996,133.729996,133.729996,133.729996,0,USD/KES (KES=X)
2024-03-16,133.729996,133.729996,133.729996,133.729996,133.729996,0,USD/KES (KES=X)
2024-03-15,134,134.5,133,134,134,0,USD/KES (KES=X)
2024-03-15,133.979996,134.979996,133.479996,133.729996,133.729996,0,USD/KES (KES=X)
2024-03-14,137,137,133.5,137,137,0,USD/KES (KES=X)
