date,open,high,low,close,adj_close,volume,currency
2024-02-29,1260.711426,1262.950806,1260.711426,1259.769165,1259.769165,0,USD/RWF (RWF=X)
2024-02-28,1264.726196,1264.726196,1262.220703,1286,1286,0,USD/RWF (RWF=X)
2024-02-27,1283.930176,1283.930176,1262.222656,1265,1265,0,USD/RWF (RWF=X)
2024-02-26,1262.828003,1283.391968,1262.828003,1260.46228,1260.46228,0,USD/RWF (RWF=X)
2024-02-23,1264.384766,1264.384766,1255,1255,1255,0,USD/RWF (RWF=X)
2024-02-22,1257.87439,1261.350098,1257.87439,1252,1252,0,USD/RWF (RWF=X)
2024-02-21,1258.219971,1260.966797,1253,1253,1253,0,USD/RWF (RWF=X)
2024-02-20,1260.415161,1260.415161,1255,1258.807373,1258.807373,0,USD/RWF (RWF=X)
2024-02-19,1258.858643,1258.858643,1258.807373,1259.197388,1259.197388,0,USD/RWF (RWF=X)
2024-02-16,1254.935059,1259.542114,1252,1252,1252,0,USD/RWF (RWF=X)
2024-02-15,1256.932495,1257.821289,1253,1253,1253,0,USD/RWF (RWF=X)
2024-02-14,1270.386597,1270.386597,1259.374146,1264,1264,0,USD/RWF (RWF=X)
2024-02-13,1256.919434,1262.612915,1256.919434,1263,1263,0,USD/RWF (RWF=X)
2024-02-12,1254.567749,1260,1254.567749,1256.225952,1256.225952,0,USD/RWF (RWF=X)
2024-02-09,1256.148926,1262,1256.148926,1262,1262,0,USD/RWF (RWF=X)
2024-02-08,1256.813599,1264,1256.761108,1264,1264,0,USD/RWF (RWF=X)
2024-02-07,1264.586792,1264.586792,1257.828979,1263,1263,0,USD/RWF (RWF=X)
2024-02-06,1258.072876,1268.339966,1258.072876,1258.430054,1258.430054,0,USD/RWF (RWF=X)
2024-02-05,1270.264282,1270.264282,1257.289063,1268.538696,1268.538696,0,USD/RWF (RWF=X)
2024-02-02,1249.499878,1260,1249.499878,1260,1260,0,USD/RWF (RWF=X)
2024-02-01,1260.00354,1262,1256.131592,1262,1262,0,USD/RWF (RWF=X)
2024-01-31,1257.201416,1259,1254.218994,1260,1260,0,USD/RWF (RWF=X)
2024-01-30,1254.724243,1260,1254.724243,1260,1260,0,USD/RWF (RWF=X)
2024-01-29,1259.590576,1259.590576,1255.517944,1257.213867,1257.213867,0,USD/RWF (RWF=X)
2024-01-26,1272.171509,1272.171509,1256.25415,1258,1258,0,USD/RWF (RWF=X)
2024-01-25,1256.365967,1266.861938,1256.365967,1260,1260,0,USD/RWF (RWF=X)
2024-01-24,1273.61145,1273.61145,1254.486206,1257,1257,0,USD/RWF (RWF=X)
2024-01-23,1272.50769,1272.50769,1259,1259,1259,0,USD/RWF (RWF=X)
2024-01-22,1270.506592,1271.876831,1255,1271.223755,1271.223755,0,USD/RWF (RWF=X)
2024-01-19,1272.581177,1272.987915,1257,1258,1258,0,USD/RWF (RWF=X)
2024-01-18,1251.118408,1272.16626,1251.118408,1258,1258,0,USD/RWF (RWF=X)
2024-01-17,1254.343872,1254.343872,1253.130981,1254.332397,1254.332397,0,USD/RWF (RWF=X)
2024-01-16,1263.400635,1263.400635,1252.7948,1260.062378,1260.062378,0,USD/RWF (RWF=X)
2024-01-15,1271.320435,1271.320435,1260.062378,1269.071167,1269.071167,0,USD/RWF (RWF=X)
2024-01-12,1250.671509,1271.535278,1250.671509,1251.349365,1251.349365,0,USD/RWF (RWF=X)
2024-01-11,1247.227539,1251.349365,1247.227539,1250,1250,0,USD/RWF (RWF=X)
2024-01-10,1250.7146,1250.873535,1250.7146,1250.331543,1250.331543,0,USD/RWF (RWF=X)
2024-01-09,1251.653442,1251.653442,1250.331543,1250,1250,0,USD/RWF (RWF=X)
2024-01-08,1245.980713,1253.780762,1245.980713,1246.231201,1246.231201,0,USD/RWF (RWF=X)
2024-01-05,1247.985352,1250,1247.985352,1250,1250,0,USD/RWF (RWF=X)
2024-01-04,1246.931641,1248.224731,1246.931641,1251,1251,0,USD/RWF (RWF=X)
2024-01-03,1248.596069,1248.596069,1245.631104,1260.839966,1260.839966,0,USD/RWF (RWF=X)
2024-01-02,1246.956421,1250,1246.956421,1248.924927,1248.924927,0,USD/RWF (RWF=X)
2024-01-01,1249.603638,1249.603638,1248.924927,1247.795166,1247.795166,0,USD/RWF (RWF=X)
2023-12-29,1249.289185,1249.289185,1245.519531,1250,1250,0,USD/RWF (RWF=X)
2023-12-28,1237.785034,1246,1236.838989,1246,1246,0,USD/RWF (RWF=X)
2023-12-27,1243.75,1245,1243.75,1245,1245,0,USD/RWF (RWF=X)
2023-12-26,1245.080688,1245.080688,1244.650757,1243.814575,1243.814575,0,USD/RWF (RWF=X)
2023-12-25,1245.080688,1245.080688,1244.650757,1243.814575,1243.814575,0,USD/RWF (RWF=X)
