date,open,high,low,close,adj_close,volume,currency
2024-04-05,56.715923,56.715923,56.45145,56.549999,56.549999,0,USD/ETB (ETB=X)
2024-04-05,56.599998,56.599998,56.599998,56.599998,56.599998,0,USD/ETB (ETB=X)
2024-04-04,56.260105,56.610966,56.260105,56.572643,56.572643,0,USD/ETB (ETB=X)
2024-04-03,56.481014,56.572643,56.481014,56.604546,56.604546,0,USD/ETB (ETB=X)
2024-04-02,56.602962,56.604546,56.602962,56.599998,56.599998,0,USD/ETB (ETB=X)
2024-04-01,56.573494,56.599998,56.573494,56.522427,56.522427,0,USD/ETB (ETB=X)
2024-03-29,56.655918,56.65881,56.595783,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-28,56.583042,56.600765,56.5,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-27,56.753201,56.753201,56.5,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-26,56.517883,56.595818,56.5,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-25,56.346348,56.569286,56.323959,56.09922,56.09922,0,USD/ETB (ETB=X)
2024-03-22,56.882271,56.882271,56.321617,56.56971,56.56971,0,USD/ETB (ETB=X)
2024-03-21,56.087551,56.56971,56.087551,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-20,56.490723,56.573074,56.490723,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-19,56.736809,56.736809,56.569347,56.708633,56.708633,0,USD/ETB (ETB=X)
2024-03-18,56.337624,56.556499,56.337624,56.330639,56.330639,0,USD/ETB (ETB=X)
2024-03-15,56.88316,56.888126,56.319523,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-14,56.513584,56.56699,56.5,56.542759,56.542759,0,USD/ETB (ETB=X)
2024-03-13,56.595646,56.595646,56.5,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-12,56.590481,56.590481,56.5,56.5,56.5,0,USD/ETB (ETB=X)
2024-03-11,56.507458,56.55479,56.400002,56.481384,56.481384,0,USD/ETB (ETB=X)
2024-03-08,56.255936,56.556049,56.255936,56.286015,56.286015,0,USD/ETB (ETB=X)
2024-03-07,56.413914,56.515854,56.400002,56.400002,56.400002,0,USD/ETB (ETB=X)
2024-03-06,56.55621,56.55621,56.52491,56.539524,56.539524,0,USD/ETB (ETB=X)
2024-03-05,56.553104,56.553104,56.539524,56.539814,56.539814,0,USD/ETB (ETB=X)
2024-03-04,56.128098,56.539814,56.128098,56.053894,56.053894,0,USD/ETB (ETB=X)
2024-03-01,56.290466,56.459999,56.214699,56.459999,56.459999,0,USD/ETB (ETB=X)
2024-02-29,56.434093,56.434093,56.243168,56.390873,56.390873,0,USD/ETB (ETB=X)
2024-02-28,56.593384,56.593384,56.50061,56.43,56.43,0,USD/ETB (ETB=X)
2024-02-27,56.506565,56.506565,56.419998,56.419998,56.419998,0,USD/ETB (ETB=X)
2024-02-26,56.540745,56.540745,56.482098,56.434826,56.434826,0,USD/ETB (ETB=X)
2024-02-23,56.636589,56.636589,56.389999,56.389999,56.389999,0,USD/ETB (ETB=X)
2024-02-22,56.328259,56.50013,56.328259,56.349998,56.349998,0,USD/ETB (ETB=X)
2024-02-21,56.394039,56.467258,56.360001,56.360001,56.360001,0,USD/ETB (ETB=X)
2024-02-20,56.510246,56.510246,56.330002,56.441044,56.441044,0,USD/ETB (ETB=X)
2024-02-19,56.092407,56.441044,56.092407,56.106983,56.106983,0,USD/ETB (ETB=X)
2024-02-16,56.287064,56.32,56.127815,56.32,56.32,0,USD/ETB (ETB=X)
2024-02-15,56.324928,56.417038,56.299999,56.299999,56.299999,0,USD/ETB (ETB=X)
2024-02-14,56.775864,56.775864,56.25,56.25,56.25,0,USD/ETB (ETB=X)
2024-02-13,56.434967,56.434967,56.426872,56.279999,56.279999,0,USD/ETB (ETB=X)
2024-02-12,56.285667,56.413223,56.25,56.360062,56.360062,0,USD/ETB (ETB=X)
2024-02-09,56.347664,56.407146,56.25,56.25,56.25,0,USD/ETB (ETB=X)
2024-02-08,56.360935,56.434612,56.200001,56.200001,56.200001,0,USD/ETB (ETB=X)
2024-02-07,56.263657,56.408566,56.099998,56.099998,56.099998,0,USD/ETB (ETB=X)
2024-02-06,56.019039,56.430645,56.019039,56.035465,56.035465,0,USD/ETB (ETB=X)
2024-02-05,56.973782,56.973782,55.984917,56.896385,56.896385,0,USD/ETB (ETB=X)
2024-02-02,56.0383,56.391029,56.0383,56.049999,56.049999,0,USD/ETB (ETB=X)
2024-02-01,56.089817,56.352394,56.089817,56.099998,56.099998,0,USD/ETB (ETB=X)
2024-01-31,56.417404,56.417404,55.832317,56.099998,56.099998,0,USD/ETB (ETB=X)
2024-01-30,55.856411,56.365623,55.856411,56.150002,56.150002,0,USD/ETB (ETB=X)
2024-01-29,56.515217,56.515217,55.892002,56.408577,56.408577,0,USD/ETB (ETB=X)
2024-01-26,56.615967,56.615967,56.099998,56.099998,56.099998,0,USD/ETB (ETB=X)
2024-01-25,56.425327,56.425327,56.099998,56.099998,56.099998,0,USD/ETB (ETB=X)
2024-01-24,56.388779,56.388779,56.337803,56.080002,56.080002,0,USD/ETB (ETB=X)
2024-01-23,56.355087,56.355087,56,56,56,0,USD/ETB (ETB=X)
2024-01-22,56.26553,56.326893,56.099998,56.297291,56.297291,0,USD/ETB (ETB=X)
2024-01-19,56.3545,56.373863,56,56.049999,56.049999,0,USD/ETB (ETB=X)
2024-01-18,55.778336,56.3382,55.778336,56.049999,56.049999,0,USD/ETB (ETB=X)
2024-01-17,56.410873,56.410873,55.868572,56.409836,56.409836,0,USD/ETB (ETB=X)
